Operacion,Resultado,Fecha
2*2,4,18/10/2023
3-9,-6,18/10/2023
5*5,25.0,18/10/2023
5*5,25.0,18/10/2023
10-9,-9,18/10/2023
9-8,1,18/10/2023
1+5,6,18/10/2023
8*8,64,19/10/2023
4+5,9,19/10/2023
3+4,7,19/10/2023
9*9,81,19/10/2023
4*4,16,19/10/2023
3+3,6,19/10/2023
7+4,11,19/10/2023
8/9,0,19/10/2023
2-9,-7,19/10/2023
4+8,12,19/10/2023
6*9,54,19/10/2023
8*7,56,19/10/2023
9-4,5,19/10/2023
7^7,7,19/10/2023
7-2,5,19/10/2023
2*4,8,19/10/2023
4+4,8,19/10/2023
0*7,0,19/10/2023
1+1,2,19/10/2023
5*5,25,19/10/2023
