Operacion,Resultado,Fecha
((5*(10-15))+7),-18.0,25/10/2023
(5*10-(80*20*(10+10))),-31950.0,25/10/2023
(4*820+392-640),3032.0,25/10/2023
(4*820+392-640),3032.0,25/10/2023
(5+5),10.0,25/10/2023
(5+5*(1+1)),15.0,25/10/2023
(5+2*(1+3)),13.0,25/10/2023
(2*3(6+3)),27.0,25/10/2023
(2*3*(6+3)),54.0,25/10/2023
(5+5*10),55.0,25/10/2023
(10+10/10),11.0,25/10/2023
(15+30*(8/4)),75.0,25/10/2023
(10+10),20.0,25/10/2023
(10*10),100.0,25/10/2023
(5+5),10.0,25/10/2023
(10^10),1.0E10,25/10/2023
(2^2),4.0,25/10/2023
2+2,4.0,25/10/2023
2&2,2.0,25/10/2023
10&10,10.0,25/10/2023
10&9,8.0,25/10/2023
2+2,4.0,25/10/2023
2&2+4,6.0,25/10/2023
(2+2),4.0,25/10/2023
(2+2),4.0,25/10/2023
(2&2),2.0,25/10/2023
(10&9),8.0,25/10/2023
