Operacion,Resultado,Fecha
(5**2),25.0,25/10/2023
(5^3),6.0,25/10/2023
(2+6*9/8-56+92*89-4+20),8156.75,26/10/2023
(1+1),2.0,26/10/2023
(2+2),4.0,27/10/2023
(2+2),4.0,27/10/2023
(2+2),4.0,27/10/2023
(2+3),5.0,27/10/2023
(5+5),10.0,27/10/2023
(10+10),20.0,27/10/2023
(10*10),100.0,27/10/2023
(2&2),2.0,27/10/2023
(2|2),2.0,27/10/2023
(2|2),2.0,27/10/2023
(2|1),3.0,27/10/2023
(4*5),20.0,27/10/2023
(2+2),4.0,27/10/2023
(4+4),8.0,27/10/2023
(2**2),4.0,27/10/2023
(4**4),256.0,27/10/2023
(5**5),3125.0,27/10/2023
(10*10-5*10),50.0,27/10/2023
(2+2),4.0,27/10/2023
(2|1),3.0,27/10/2023
